Controlling lead mute,BrooksBrown,"I make heavy use of lead mute. My problem is that this makes switching presets time consuming because I have to make two switches: change the preset, and then go into setup and change lead mute off or on.Is there a way o...",Classification,Confidence
TonePrint editor for BH250,TcEkectronicUse,Is it possible to send a TonePrint to a BH250 via TonePrint editor on pc?I see only a grayed out button 'Send to pedal' ...,awareness,0.422
"Which model for cover band, presets, midi and set keys?",ToddPlesko,"Hi, I am seeking a vocal processor that has all of the standard effects and pitch correction, but also midi by which I send the key information from my guitar processor (I can send a midi message, by preset, using my gui...",consideration,0.576
Issue with Noise Gate,epivox,"Hello,I installed the G-System with a Marshall JCM 800 2210 since yesterday (Gear Change). I use the FX Loop from the Amp. Everything works fine. But when I use the Noise gate the overall Volume goes down I checked this...",decision,0.442
Spectracomp won't save user toneprints,jacoby75,"Hey all,I recently started editing Toneprint templates with the app. My edits save to my phone, and they will save to the pedal, so that when I turn it on and off the edited Toneprint stays loaded. However, when I unpl...",awareness,0.432
alter egoX4 tap tempo problems,Alexis1181,i Have an alterego X4 too! but a have problem with the tap tempo! is not responding very well to my foot when I press the tap switch! and what happened i think is when I was switching from 4th note to 8th note the switch...,decision,0.581
USB audio...,DennisDubeau,"to Anyone here,Is there a way to route the USB audio in to one of the looper input? I've tried pretty much everything but.. no go.",consideration,0.409
Used Corona and iPhone 7 with bass,Mooch4056,iPhone 7 doesn’t recognize corona at all. Beaming prints work about one out of every 20 tries. iPad 2 from 2011 it all works fine. What’s up with that?? iPhone 7 has latest updates 11.4 Any suggestions to get the iPhone ...,awareness,0.66
Adding internal tap tempo mode for Flashback 2 Delay,mortn,"Hey there,I'm a happy owner of the HOF2 and the Flashback 2. After having spent some time with both pedals, I'd like to offer some feedback. As of now there's no internal tap tempo feature for the FB2, so I'm using the p...",decision,0.588
Ditto Jam,ronny,Hi does anyone know if i loop and stop a guit progression at the start of a song would it listen to my rhythm playing and adjust if i sped up or slowed down and would the loop would be in tempo when i kicked it in to sol...,awareness,0.632
HOF mini & Flashback mini raising volume when activated.,bobc2112,"Firstly thanks, TC Electronics, for your fantastic products! I've put together a new small pedal board for my Marshall 50W Plexi, but am experiencing a bit of an unexpected issue.The order is this:-Guitar>Line 6 G30 t...",advocacy,0.53
Hall of Fame 2 editor,JonoB27,"Hi guys and gals, I'm fairly new so go easy and use small words. I've just begun delving a bit more into the editor and there's one thing that I haven't yet seen which is a way to split your signal. So really, I'm just w...",awareness,0.58
Ditto Jam X2 Volume Issue,CBrou,Hey guys... The new ditto jam x2 is much quieter out of the box then the ditto x2. The level on the Jam has to be about 3 o'clock to match the old x2 at 12 o'clock. I tested both in the same pedal board - same guitar -...,decision,0.156
Voicelive Play 3 New Settings making manual outdated?,SusanDuring,Hi. I am brand new to the Voice live Play 3 - coming from a VE-20. I updated using the Voice Support - and there are things now on the pedal that aren't in the manual. Not great when you are learning from the start.In...,decision,0.417
VoiceLive 3 Switch issue,DavidVario,"Hi - Has anyone had an issue with the VoiceLive 3 (or other unit) where the switch does not function (i.e. turn the function on and off)? The Delay switch on my unit does not turn on or off, the light ring turns on and ...",awareness,0.43
KXD15 loud buzzing sound,SeanO_Donnell,"I own a Behringer KXD15-UL amplifier. Very often, but not always, after a few minutes of use, it makes a horrible, *really loud* buzzing, crackling sound. The buzzing sound only goes away when I turn down the Main FX lev...",decision,0.513
Noisy filter emphasis knob,StephenPearson,I recently purchased a model d (about two weeks ago)Everything great until yesterday - when turning the filter emphasis knob and playing at the same time I get a static / noisy sound. Almost like a crackling / rustling s...,decision,0.412
delay,OliverRosemann,heyis it normal that the delay is a bit dull? when i turn the delay to the top wet its not equal to the dry signal in sound. its muffled. sounds low pass filtered. do you have any clues?thanx in advance,awareness,0.631
Feature Request: Global Effect Tabs,BenPearce,I'd like the ability to make individual effect tabs global.,awareness,0.642
VL3 Extreme Outputs,KennethKohncke,"Hi, I currently have a Play Acoustic and am looking at getting a VL3 Extreme. Something I want to know first is about the outputs. Like the Play acoustic, I can see there are separate outputs for vocals and guitar. But w...",consideration,0.598
Please add volume control to artist toneprints (Spectracomp),jacoby75,"Hi guys,I love my Spectracomp. I have had a love/hate relationship with compressor for years, due largely to my ignorance and inability to get a good sound out of one. Enter the Spectracomp. It's stupidly simple to us...",advocacy,0.299
1.1.2 Sysex File needed,DrewHan,"So, I can't get the download option of the firmware uploader to work and am only able to get the offline option to work. The download for the 1.1.2 firmware only provides the 1.1.1 sysex file and not the 1.1.2. Can t...",awareness,0.697
Background noise on oscillators,AndyButler,"I'm hearing this unpleasant glitch in the raw oscillator sounds.Patch oscillator to output.oscillator sine wave show this well, but all shapes affected.LFO shape =Square Play high sustained note (hiighest note available ...",awareness,0.638
"Actually, a feature remove request.",AndyButler,The Normalling of ATT2 to PWM could be undone in my opinion. If it's a simple matter of severing a circuit track in the right place I'd do it right away.While it's a nice way to make it easy to get some PWM on both osc I...,awareness,0.677
[HELP NEEDED] G-System + Axe-FX ULTRA : 4CM (4 cable method),DemolitionColor,"A while ago, all my gear was stolen and now I'm slowly acquiring my old setup again. It's been a while since I hooked up a system, so I'm kinda having a brainfart. How do I hook my G-System and Axe-FX ULTRA up in a 4CM-s...",awareness,0.69
Bluetooth on headphones output,orson13,"Hi, Is it possible to connect a bluetooth transmitter in the headphone output to be able to use bluetooth headphones and not use the cable? Thanks.",consideration,0.526
Fan speed question please,EdwardPhillips,"Hello everyone,First post and newbie question:Just going through menus and parameters of my new DM12.Wondering about fan speed adjustment?Is the fan nesessary for normal operation?And if so, why a speed control?Many tha...",awareness,0.733
Filter envelope not triggering?,DavidGrant,"Hi, I seem to have an issue with the filter envelope on my model D. It doesn't matter how I set the filter controls, the attach and decay cycles don't run. The sustain responds....if I set the amount of contour and chang...",awareness,0.596
Perform V,IvanZakharov,Hello1) Does Perform V has an option to hardtune to a specific scale like voicelive 2?2) On VL2 when using doubling I also noticed a slight delay when I turn off the dry signal (listen only to doubling). Is the perform V...,awareness,0.609
Connecting Perform VG to mixer with phantom power active,AlanMacDonald,"I want to connect my Perform VG MIC OUT to a Soundcraft notebook mixer. In this series of mixer, the 48V phantom power is always active on the XLR mic input. Does the Perform VG have protection from phantom power if appl...",consideration,0.216
Spark Mini switch conversion.,Jemdee,"Hello,As we know, the Spark mini has a feature that allows you to hold the switch down for a temporary boost instead of just on/off. Is it the switch that allows this function or something else? If it is the switch, can ...",awareness,0.642
enveloping the Noise?,OliverRosemann,hi theremaybe i missed it or its not possible but is there way to modulate the noise via the envelope ?thanx,awareness,0.618
Soubnd boost on Voicelive Play GTX,WGeistl,"Hello everyone,when im switching with switch3 to soloing then i get a short and very loud boost before i hear the setting i made. How can i supress it?Werner",awareness,0.489
Connect iPhone 6 (Lightning cable) to TC Spectra Comp,jacoby75,"Hey guys,I'm not very technically proficient. Can anyone tell me what kind of cable I need to hardwire my iPhone 6 to a Toneprint pedal (specifically the Spectra Comp)? The iPhone 6 uses a lightning charger. Is there ...",awareness,0.674
VoiceLive 2 problem with voice loudness adjustment,IvanMuhanov,"Hi,I have a problem with voice loudness adjustment on my voicelive 2. On main mix screen I could turn knob ""voice"" to -50 Db or even to Off, voice loudness remains the same. But the delay/reverb knob works properly and r...",decision,0.494
Dimentions of Bugera 212TS Speaker Cabinet,RickHill,Does anyone know the Dimensions of the Bugera 212TS Speaker Cabinet? H-W-D and Weight? Also does anyone have an opinion of the workings of this Cabinet (is it any good)?,consideration,0.733
Looper question - How to start on track C after an 'All ...,KenyGomez,"Hello guys,First time writing here and glad to see the community is active.Question - Say I have drums recorded on track A, bass line 1 on track B and bass line 2 on track C. Track A/B is my verse and track A/C is my cho...",awareness,0.674
Stereo settings in V-AMP 3,MihailKosev,Can you adjust stereo in V-AMP 3?,consideration,0.578
